Ceyhun Cafer 
Professor Ziegler 
HW9
CISC 1115

	Original Set of Data:

   ID NUMBER: 	        BALANCE: 
       123                 0.01
       456                 1.90
       789               571.90
       132                27.90
       378                57.19
       918             10000.99
       641                 1.34
       817                 0.50
       717               131.31
       193               700.39
       491              1789.54
       751               908.37
       387              1238.70
       120             93219.78
       579                81.23
       970             12378.21
       129              3721.12
       133              1337.00

 Selection Sort respective to ID's:

   ID NUMBER: 	        BALANCE: 
       120             93219.78
       123                 0.01
       129              3721.12
       132                27.90
       133              1337.00
       193               700.39
       378                57.19
       387              1238.70
       456                 1.90
       491              1789.54
       579                81.23
       641                 1.34
       717               131.31
       751               908.37
       789               571.90
       817                 0.50
       918             10000.99
       970             12378.21

 Bubble Sort respective to Donations:

   ID NUMBER: 	        BALANCE: 
       123                 0.01
       817                 0.50
       641                 1.34
       456                 1.90
       132                27.90
       378                57.19
       579                81.23
       717               131.31
       789               571.90
       193               700.39
       751               908.37
       387              1238.70
       133              1337.00
       491              1789.54
       129              3721.12
       918             10000.99
       970             12378.21
       120             93219.78

